ano,valor,pais,codigo_pais,indicador,categoria
2024,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2023,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2022,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2021,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2020,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2019,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2018,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2017,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2016,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2015,34.7621018587146,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2014,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2013,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2012,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2011,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2010,33.7874149827259,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2009,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2008,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2007,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2006,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2005,32.5299157261249,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2004,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2003,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2002,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2001,,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
2000,33.1330207576658,Aruba,AW,SM.POP.TOTL.ZS,"Financial Sector , Health "
