ano,valor,pais,codigo_pais,indicador,categoria
2024,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2023,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2022,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2021,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2020,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2019,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2018,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2017,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2016,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2015,1.81156655898875,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2014,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2013,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2012,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2011,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2010,1.86254484260751,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2009,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2008,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2007,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2006,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2005,2.37470735150801,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2004,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2003,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2002,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2001,,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
2000,6.36509259685436,Guinea,GN,SM.POP.TOTL.ZS,"Financial Sector , Health "
