ano,valor,pais,codigo_pais,indicador,categoria
2024,,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2023,5.11192183224598,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2022,4.55149177958398,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2021,7.93576224743147,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2020,-4.27335432161462,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2019,2.41751181762513,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2018,2.6159044043379,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2017,4.1576989627609,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2016,4.20432325175899,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2015,3.65208096802883,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2014,3.54210987765977,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2013,2.49476611209954,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2012,4.88259241025739,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2011,4.40315923970431,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2010,5.36034352634111,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2009,-0.873455942787785,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2008,4.73817487754022,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2007,8.21513198348715,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2006,7.3266954325067,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2005,3.97666636818026,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2004,4.42459959654504,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2003,4.31717986636224,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2002,3.41687639041064,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2001,3.49116989434005,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
2000,3.86871808953644,Costa Rica,CR,NY.GDP.MKTP.KD.ZG,Economy & Growth
